Country_Clean,count
United States,23272
Canada,1692
United Kingdom,1369
Australia,392
Germany,198
England,171
New Zealand,132
Ireland,125
Netherlands,91
France,69
Spain,51
Scotland,49
Sweden,41
Switzerland,38
Belgium,35
Japan,30
India,26
None,25
Denmark,24
Singapore,20
Austria,19
South Africa,19
Italy,16
Finland,16
Norway,14
Israel,14
Malaysia,13
Brazil,12
Philippines,12
Poland,10
China,10
Mexico,8
Colombia,8
Thailand,7
Wales,7
Argentina,7
Czech Republic,7
Nigeria,7
Romania,6
Hong Kong,6
Pakistan,6
Greece,5
Northern Ireland,5
South Korea,5
Taiwan,5
Portugal,5
Puerto Rico,4
Latvia,4
Chile,3
Kenya,3
Ghana,3
Saudi Arabia,3
Luxembourg,3
Bermuda,2
Sri Lanka,2
Hungary,2
Morocco,2
Bulgaria,2
Indonesia,2
Lithuania,2
Slovenia,2
Cyprus,2
Croatia,2
Zimbabwe,2
Estonia,2
United Arab Emirates,2
Bangladesh,2
Vietnam,2
Myanmar,2
Turkey,2
Kuwait,1
Cayman Islands,1
Trinidad And Tobago,1
Slovakia,1
Cote D'Ivoire,1
Somalia,1
Sierra Leone,1
Eritrea,1
Cambodia,1
Afghanistan,1
Russia,1
Serbia,1
Jersey,1
Rwanda,1
Cuba,1
Congo,1
Uruguay,1
Costa Rica,1
Ecuador,1
Malta,1
Uganda,1
Bahamas,1
Qatar,1
Panama,1
Ukraine,1
Isle Of Man,1
Jordan,1
Jamaica,1
Liechtenstein,1
Bosnia And Herzegovina,1
Tanzania,1
Egypt,1
Liberia,1
Zambia,1
