Country,count
United States,9029
USA,7958
US,2618
Canada,1574
United States ,668
U.S.,585
UK,575
United Kingdom,548
USA ,468
Usa,448
United States of America,430
Australia,319
United states,208
usa,187
Germany,174
England,134
united states,116
Us,106
Ireland,103
New Zealand,95
Uk,85
Canada ,76
Australia ,68
France,66
United Kingdom ,65
U.S.A.,46
Spain,45
United States of America ,44
Netherlands,43
Scotland,40
us,38
Sweden,34
Belgium,33
England ,32
Switzerland,29
canada,27
The Netherlands,26
Japan,26
UK ,22
U.S,22
America,22
India,22
New Zealand ,21
United State,20
Germany ,19
Ireland ,19
Austria,18
Usa ,18
US ,18
Denmark,17
U.S. ,17
Singapore,16
Finland,15
Italy,14
South Africa,14
Israel,14
United kingdom,14
United states ,13
Unites States,13
Malaysia,12
Norway,12
Netherlands ,11
Brazil,10
Philippines,10
Poland,9
United Stated,9
U.S.A,9
China,9
U.K. ,9
Colombia,8
The United States,7
Sweden ,7
UNITED STATES,7
Switzerland ,7
Uk ,6
Scotland ,6
Thailand,6
NZ,6
Mexico,6
United Sates,6
United States of america,6
Greece,5
Us ,5
uk,5
germany,5
Taiwan,5
Romania,5
united kingdom,5
Argentina,5
United States Of America,4
Portugal,4
South Korea,4
united States,4
United State of America,4
Pakistan,4
🇺🇸 ,4
U. S. ,4
New zealand,4
Latvia,4
"England, UK",4
CANADA,4
UnitedStates,4
Wales,4
denmark,4
Great Britain ,3
Kenya,3
netherlands,3
ISA,3
South Africa ,3
Ghana,3
Saudi Arabia,3
United states of America ,3
Singapore ,3
Hong Kong,3
spain,3
"Scotland, UK",3
Chile,3
Puerto Rico,3
U.K.,3
australia,3
U. S.,3
U.s.,3
united states ,3
ireland,3
United Statea,3
Unites states ,3
Nigeria ,3
"England, United Kingdom",2
United Status,2
Slovenia,2
United Kingdom (England),2
Czech Republic,2
Cyprus,2
I.S.,2
Great Britain,2
Remote,2
United kingdom ,2
Vietnam,2
ENGLAND,2
Hungary,2
Turkey,2
Canda,2
Luxembourg,2
Denmark ,2
Unite States,2
The US,2
india,2
The Netherlands ,2
Spain ,2
United Sates of America,2
United Stares,2
Lithuania,2
Indonesia,2
Japan ,2
UK (England),2
Belgium ,2
USA tomorrow ,2
United states of America,2
South africa,2
Nigeria,2
Northern Ireland ,2
england,2
Norway ,2
u.s.,2
The netherlands,2
United STates,2
Bermuda,2
United Stares ,2
Bulgaria,2
Estonia,2
Morocco,2
new zealand,2
Zimbabwe,2
Poland ,1
pakistan,1
London,1
ss,1
dbfemf,1
ibdia,1
LOUTRELAND,1
Company in Germany. I work from Pakistan.,1
croatia,1
Canadá,1
United States of American,1
U.S.A ,1
INDIA,1
Liechtenstein,1
Uniteed States,1
New Zealand Aotearoa,1
Hartford,1
"Japan, US Gov position",1
Csnada,1
Mainland China,1
France ,1
Italy (South),1
"Jersey, Channel islands",1
Virginia,1
Afghanistan,1
U.s.a.,1
USS,1
UXZ,1
czech republic,1
Puerto Rico ,1
Canada and USA,1
Catalonia,1
"$2,175.84/year is deducted for benefits",1
U.SA,1
United Kindom,1
Currently finance,1
 U.S.,1
Serbia,1
Russia ,1
Uniyed states,1
Uniyes States,1
United States of Americas,1
U.A.,1
Canad,1
United Kingdom.,1
Trinidad and Tobago,1
United Statees,1
Cayman Islands,1
UNited States,1
Can,1
I am located in Canada but I work for a company in the US,1
Canadw,1
United States (I work from home and my clients are all over the US/Canada/PR,1
Unted States,1
United Statesp,1
United Stattes,1
UK (Northern Ireland),1
UK for U.S. company,1
 US,1
Hong Kong ,1
Worldwide (based in US but short term trips aroudn the world),1
CANADA ,1
U.K,1
NL,1
the Netherlands,1
Nederland,1
Slovakia,1
Portugal ,1
Sierra Leone,1
"From Romania, but for an US based company",1
Somalia,1
Wales (United Kingdom),1
"England, Gb",1
Sri Lanka,1
Danmark,1
U.K. (northern England),1
"For the United States government, but posted overseas",1
IS,1
United Kingdomk,1
 New Zealand,1
Cuba,1
Australi,1
Cote d'Ivoire,1
Cambodia,1
Czech Republic ,1
Bangladesh,1
Bosnia and Herzegovina,1
Eritrea,1
Zambia,1
finland,1
"Canada, Ottawa, ontario",1
Global,1
United States of American ,1
FRANCE,1
Uniited States,1
na,1
"UK, remote",1
USA-- Virgin Islands,1
United Statws,1
England/UK,1
"We don't get raises, we get quarterly bonuses, but they periodically asses income in the area you work, so I got a raise because a 3rd party assessment showed I was paid too little for the area we were located",1
Unites States ,1
U.S.A. ,1
"England, UK.",1
Britain ,1
Costa Rica,1
 United States,1
United Statues,1
Untied States,1
"USA (company is based in a US territory, I work remote)",1
Kuwait,1
Sri lanka,1
Contracts,1
Englang,1
United statew,1
UAE,1
Policy,1
bonus based on meeting yearly goals set w/ my supervisor,1
International ,1
The Bahamas ,1
"I earn commission on sales. If I meet quota, I'm guaranteed another 16k min. Last year i earned an additional 27k. It's not uncommon for people in my space to earn 100k+ after commission. ",1
hong konh,1
United Stateds,1
n/a (remote from wherever I want),1
singapore,1
"US govt employee overseas, country withheld",1
usa ,1
Malaysia ,1
Uganda,1
I work for an US based company but I'm from Argentina.,1
I was brought in on this salary to help with the EHR and very quickly was promoted to current position but compensation was not altered. ,1
Uniter Statez,1
U. S ,1
Congo,1
Hong KongKong,1
Uruguay,1
Brasil,1
Czech republic,1
united stated,1
Czechia,1
Panamá,1
US of A,1
Rwanda,1
SWITZERLAND,1
"Austria, but I work remotely for a Dutch/British company",1
USAB,1
Unitied States,1
United States of america ,1
Qatar,1
United Sttes,1
Remote (philippines),1
Brazil ,1
Unites kingdom ,1
Mexico ,1
Northern Ireland,1
United Arab Emirates ,1
California ,1
Ukraine ,1
america,1
switzerland,1
United States is America,1
"England, United Kingdom ",1
philippines,1
USaa,1
uSA,1
South Korea ,1
U.S>,1
united states of america,1
ff,1
San Francisco,1
Usat,1
Luxemburg,1
Unitef Stated,1
UA,1
"Wales, UK",1
Myanmar,1
Croatia ,1
Malta,1
Burma,1
Tanzania,1
Česká republika,1
Italia,1
Africa,1
Ecuador,1
Bangladesh ,1
france,1
Aotearoa New Zealand,1
Egypt,1
Thailand ,1
Liberia,1
1,1
Nigeria + UK,1
NIGERIA,1
japan,1
Jordan,1
United Statss,1
ARGENTINA BUT MY ORG IS IN THAILAND,1
United states of america,1
UsA,1
"I work for a UAE-based organization, though I am personally in the US.",1
United  States,1
"UK, but for globally fully remote company",1
Australian ,1
México,1
Jamaica,1
uS,1
USD,1
the netherlands,1
"USA, but for foreign gov't",1
From New Zealand but on projects across APAC,1
Y,1
United y,1
Wales (UK),1
Isle of Man,1
"Northern Ireland, United Kingdom",1
europe,1
United States- Puerto Rico,1
